expiry_date,trade_date,strike_price,buy_price,call_id,put_id,2023-12-01,2023-12-04,2023-12-05,2023-12-06,2023-12-07,2023-12-08,2023-12-11,2023-12-12,2023-12-13,2023-12-14,2023-12-15,2023-12-18,2023-12-19,2023-12-20,2023-12-21,2023-12-22,2023-12-25,2023-12-26,2023-12-27,2023-12-28,2024-01-01,2024-01-02,2024-01-03,2024-01-04,2024-01-05,2024-01-08,2024-01-09,2024-01-10,2024-01-11,2024-01-12,2024-01-15,2024-01-16,2024-01-17,2024-01-18,2024-01-19,2024-01-22,2024-01-23,2024-01-24,2024-01-25
2023-12-28,2023-12-01,21000,277.29625822432786,dummy_call_0,dummy_put_0,-421.22,-390.86,-387.32,-707.19,-798.92,-480.29,-598.36,-727.08,-550.02,-406.11,-842.92,-475.3,-922.12,-1054.95,-1301.65,-1414.31,-1188.27,-1298.07,-1503.44,-1060.46,,,,,,,,,,,,,,,,,,,
2023-12-28,2023-12-04,21050,209.60149546572393,dummy_call_1,dummy_put_1,,-198.41,-540.18,-20.66,160.9,468.92,-13.46,64.3,-96.17,-362.29,-178.42,239.13,762.21,870.35,841.49,1055.03,1355.04,1434.5,1638.39,1514.67,,,,,,,,,,,,,,,,,,,
2023-12-28,2023-12-05,21100,266.9185979167279,dummy_call_2,dummy_put_2,,,-216.92,-567.41,-386.46,-67.15,-509.8,-373.54,-376.7,-451.92,-282.23,176.41,140.46,242.95,-199.36,198.63,515.87,111.45,484.24,658.3,,,,,,,,,,,,,,,,,,,
2023-12-28,2023-12-06,21150,248.7186737841809,dummy_call_3,dummy_put_3,,,,165.79,225.11,61.01,-249.78,-247.83,99.14,367.6,-38.36,-391.79,-211.14,-704.53,-266.85,-728.11,-1035.66,-1454.28,-1020.02,-1365.27,,,,,,,,,,,,,,,,,,,
2023-12-28,2023-12-07,21200,230.7752007178019,dummy_call_4,dummy_put_4,,,,,-324.46,-229.37,182.66,292.57,407.74,28.73,269.94,-151.21,253.85,-46.94,-5.85,-9.7,-77.12,-73.67,245.66,520.45,,,,,,,,,,,,,,,,,,,
2023-12-28,2023-12-08,21250,245.58871698381512,dummy_call_5,dummy_put_5,,,,,,-121.25,-63.78,-350.69,-533.81,-994.51,-1399.76,-963.96,-1332.6,-1245.3,-778.33,-1013.46,-645.35,-706.47,-455.99,-209.45,,,,,,,,,,,,,,,,,,,
2023-12-28,2023-12-11,21300,283.9467421372586,dummy_call_6,dummy_put_6,,,,,,,542.21,1051.08,1144.9,1276.91,1558.69,1066.87,912.11,1058.0,897.1,1225.85,1506.75,2045.63,1893.9,1677.74,,,,,,,,,,,,,,,,,,,
2023-12-28,2023-12-12,21350,200.67801849162115,dummy_call_7,dummy_put_7,,,,,,,,10.66,62.01,559.48,1081.38,1340.89,963.8,1427.51,1136.45,1250.91,830.64,1336.41,1413.16,1239.92,,,,,,,,,,,,,,,,,,,
2023-12-28,2023-12-13,21400,269.66015025458904,dummy_call_8,dummy_put_8,,,,,,,,,-181.6,-47.51,-20.15,520.94,344.92,471.59,815.83,388.81,640.84,219.76,-107.62,-4.62,,,,,,,,,,,,,,,,,,,
2023-12-28,2023-12-14,21450,256.5482544847726,dummy_call_9,dummy_put_9,,,,,,,,,,88.99,305.92,193.61,614.99,251.09,47.53,-7.74,72.63,144.57,-157.33,-99.52,,,,,,,,,,,,,,,,,,,
2023-12-28,2023-12-15,21500,275.6575579601162,dummy_call_10,dummy_put_10,,,,,,,,,,,-35.43,-439.01,-709.4,-558.94,-949.9,-404.52,-520.36,-197.17,325.08,-2.51,,,,,,,,,,,,,,,,,,,
2023-12-28,2023-12-18,21550,266.8120260085851,dummy_call_11,dummy_put_11,,,,,,,,,,,,443.23,391.48,-15.01,-68.98,-230.66,-407.11,-265.92,-712.42,-1172.83,,,,,,,,,,,,,,,,,,,
2023-12-28,2023-12-19,21600,298.2404177920396,dummy_call_12,dummy_put_12,,,,,,,,,,,,,-79.52,-176.64,-145.05,-167.75,-518.74,-640.87,-907.95,-981.91,,,,,,,,,,,,,,,,,,,
2023-12-28,2023-12-20,21650,284.4803033947229,dummy_call_13,dummy_put_13,,,,,,,,,,,,,,25.08,-57.26,-532.44,-905.14,-991.38,-966.69,-1353.82,,,,,,,,,,,,,,,,,,,
2023-12-28,2023-12-21,21700,238.0639708383639,dummy_call_14,dummy_put_14,,,,,,,,,,,,,,,-394.26,150.66,192.04,-33.81,-531.41,-652.59,,,,,,,,,,,,,,,,,,,
2023-12-28,2023-12-22,21750,262.7138241129142,dummy_call_15,dummy_put_15,,,,,,,,,,,,,,,,351.65,381.87,-90.65,120.67,25.92,,,,,,,,,,,,,,,,,,,
2023-12-28,2023-12-25,21800,227.43755366098202,dummy_call_16,dummy_put_16,,,,,,,,,,,,,,,,,-154.26,-67.39,229.12,499.17,,,,,,,,,,,,,,,,,,,
2023-12-28,2023-12-26,21850,203.2177860675845,dummy_call_17,dummy_put_17,,,,,,,,,,,,,,,,,,538.43,907.2,1377.24,,,,,,,,,,,,,,,,,,,
2023-12-28,2023-12-27,21900,264.2519022402322,dummy_call_18,dummy_put_18,,,,,,,,,,,,,,,,,,,357.19,615.64,,,,,,,,,,,,,,,,,,,
2023-12-28,2023-12-28,21950,236.02703600542293,dummy_call_19,dummy_put_19,,,,,,,,,,,,,,,,,,,,385.53,,,,,,,,,,,,,,,,,,,
2024-01-25,2024-01-01,22000,324.26585691884156,dummy_call_jan_0,dummy_put_jan_0,,,,,,,,,,,,,,,,,,,,,-541.51,-378.93,-441.72,184.89,770.48,834.97,283.18,22.46,-507.59,-896.29,-487.71,-860.42,-1293.53,-830.3,-296.45,127.35,280.99,249.99,362.71
2024-01-25,2024-01-02,22050,302.0178306330192,dummy_call_jan_1,dummy_put_jan_1,,,,,,,,,,,,,,,,,,,,,,628.54,331.28,-171.95,459.98,179.15,-235.62,338.05,-215.51,-88.31,114.04,-412.39,-234.21,-48.07,494.04,305.15,900.62,726.92,338.65
2024-01-25,2024-01-03,22100,315.6569972394635,dummy_call_jan_2,dummy_put_jan_2,,,,,,,,,,,,,,,,,,,,,,,-508.41,-195.65,238.13,322.04,195.9,113.86,322.57,260.6,674.35,596.16,1224.54,1365.63,1297.27,760.47,228.67,-148.4,347.83
2024-01-25,2024-01-04,22150,266.84491904243566,dummy_call_jan_3,dummy_put_jan_3,,,,,,,,,,,,,,,,,,,,,,,,647.61,524.66,31.11,-220.87,-305.43,-760.59,-139.37,-550.32,-570.38,-880.48,-274.07,-502.68,-862.99,-1264.22,-712.06,-163.26
2024-01-25,2024-01-05,22200,259.93524263737623,dummy_call_jan_4,dummy_put_jan_4,,,,,,,,,,,,,,,,,,,,,,,,,531.36,1118.21,918.74,593.33,659.52,1268.46,822.3,1055.1,1342.74,769.8,1242.67,1746.15,1626.31,1142.84,1411.55
2024-01-25,2024-01-08,22250,306.5070976213767,dummy_call_jan_5,dummy_put_jan_5,,,,,,,,,,,,,,,,,,,,,,,,,,-368.06,-51.2,-158.7,-413.72,-427.9,120.44,712.3,1218.91,1534.72,1434.76,896.82,972.42,891.18,1386.27
2024-01-25,2024-01-09,22300,253.6147475409354,dummy_call_jan_6,dummy_put_jan_6,,,,,,,,,,,,,,,,,,,,,,,,,,,-368.7,-579.9,-243.67,-702.01,-1178.85,-708.58,-586.77,-119.51,-316.69,-282.59,273.16,583.79,1112.36
2024-01-25,2024-01-10,22350,258.89861132662463,dummy_call_jan_7,dummy_put_jan_7,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.95,675.64,616.76,790.78,884.96,1185.11,950.31,619.33,688.36,202.73,743.45,383.95
2024-01-25,2024-01-11,22400,289.43204082916566,dummy_call_jan_8,dummy_put_jan_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,527.27,590.44,365.08,467.14,1001.33,1228.06,1161.89,1634.76,1629.24,2147.42,2000.51
2024-01-25,2024-01-12,22450,290.3084692404317,dummy_call_jan_9,dummy_put_jan_9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,618.53,1248.92,1388.95,1003.6,937.35,505.48,865.55,1466.68,2069.4,2233.89
2024-01-25,2024-01-15,22500,338.1429301780302,dummy_call_jan_10,dummy_put_jan_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-185.81,-661.14,-626.85,-928.8,-1252.27,-1527.79,-1850.17,-1267.37,-1102.82
2024-01-25,2024-01-16,22550,302.8285551443219,dummy_call_jan_11,dummy_put_jan_11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-595.31,-312.58,-629.99,-665.07,-1179.75,-665.06,-708.97,-1270.71
2024-01-25,2024-01-17,22600,266.4308246753346,dummy_call_jan_12,dummy_put_jan_12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-545.06,-1109.83,-523.51,77.35,-153.35,-79.77,242.78
2024-01-25,2024-01-18,22650,251.23544549662583,dummy_call_jan_13,dummy_put_jan_13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-335.19,-294.15,-756.58,-797.58,-881.69,-491.38
2024-01-25,2024-01-19,22700,328.8700969029679,dummy_call_jan_14,dummy_put_jan_14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419.82,819.03,1456.82,1019.72,810.34
2024-01-25,2024-01-22,22750,300.0749667520762,dummy_call_jan_15,dummy_put_jan_15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-166.21,-191.68,320.82,684.01
2024-01-25,2024-01-23,22800,294.13099626913663,dummy_call_jan_16,dummy_put_jan_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.66,392.73,-41.18
2024-01-25,2024-01-24,22850,257.7534924055729,dummy_call_jan_17,dummy_put_jan_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-432.1,-214.1
2024-01-25,2024-01-25,22900,283.1861590634254,dummy_call_jan_18,dummy_put_jan_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-167.79
